wave_peak	wave_base	wave_top	note	flux	loggf	lower_state_eV	upper_state_eV	EW	EWR	error_f	errEWR
382.0589999998333	382.0039999998346	382.10499999983216	Fe 1	0.4531961739558785	0.11900000000000001	0.859	4.103	0.027087237379920977	-4.149365720914477	0.007518261816623989	0.06398558022427223
385.99999999974017	385.961999999741	386.0349999997393	Fe 1	0.6247469650901404	-0.71	0.0	3.211	0.020412133253159357	-4.276698909869053	0.007625286140534791	0.0012894846854929311
404.57899999930083	404.5569999993013	404.6289999992996	Fe 1	0.544679859690425	0.28	1.485	4.549	0.012212248219953231	-4.520207713647608	0.0077323104644455905	0.05471766546256295
406.3659999992585	406.31999999925966	406.40199999925767	Fe 1	0.6392124987590923	0.062	1.557	4.608	0.0074069526990037165	-4.739277792818854	0.007742347440528417	0.0541051237613454
429.41699999871344	429.3379999987153	429.4609999987124	Fe 1	0.3899969198636649	-1.11	1.485	4.371	0.022253577432136268	-4.28547939645532	0.007741608044630358	0.11988237053571618
430.79499999868085	430.73999999868215	430.8349999986799	Fe 1	0.3643937942588556	-0.073	1.557	4.435	0.01995651115014118	-4.334186034955634	0.0077408686487322985	0.03487734350618794
438.360999998502	438.3209999985029	438.39799999850106	Fe 1	0.3029417968254755	0.2	1.485	4.313	0.01478672348665586	-4.471959957386468	0.007740129252834241	0.058698306063008236
